No.;Time;Comment;Scramble;Date;P.1
4574;22.73;;D' B2 L' U' D R2 B' U' L' D2 B2 U' B2 R2 B2 L2 U' F2 D' R2;2020-11-19 21:01:52;22.73
4575;23.58;;F2 U2 R' B2 R2 U2 F2 D' L2 D' L2 U L2 D2 F L' U2 B D2 F2 D';2020-11-19 21:02:50;23.58
4576;18.55;;R B L2 U2 L2 U B2 L2 F2 R2 U2 F2 U' R U2 L D R2 B R2;2020-11-19 21:03:29;18.55
4577;18.20;;R U' R U' F2 D' L2 U2 B2 U B2 U' L2 B' U' R' B2 U2 B' F2;2020-11-19 21:04:07;18.20
4578;19.26;;F2 L2 F R' U F D2 R U' F2 U L2 U' R2 B2 U2 L2 B';2020-11-19 21:04:44;19.26
4579;22.73;;D2 B2 U R2 D' U' B2 L2 U L2 B2 R2 B D L D2 R F U B;2020-11-19 21:05:24;22.73
4580;21.66;;F L2 D' R U B' L U2 L2 F' L2 F2 R2 B' D2 R2 D2 B2 L B';2020-11-19 21:06:50;21.66
4581;21.82;;L D2 L B2 L B' U R B2 U L2 D' L2 D' R2 B2 U F2 B2 D' R;2020-11-19 21:07:31;21.82
4582;24.80;;L' D B2 L F' U R L D' U2 R2 D2 F U2 F B2 D2 R2 F2 D2;2020-11-19 21:08:10;24.80
4583;20.49;;B' D R D' F2 U' F2 D' B2 L2 R2 D2 R2 L' U L B F' R B2;2020-11-19 21:08:59;20.49
4584;18.92;;U2 F2 U' R2 U L2 U L2 R2 D L2 F L' R F L' F2 L' U2 F;2020-11-19 21:09:33;18.92
4585;16.70;;R B L2 B2 U L2 D' F2 D' B2 U' F2 D U F' R2 U B2 R2 U L';2020-11-19 21:10:06;16.70
4586;19.18;;L2 R2 D2 B2 U' R2 U' R2 D2 L2 B' U B' L2 F2 R' B U' L2 U;2020-11-19 21:11:00;19.18
4587;18.05;;B2 D' F R U D2 R F2 U R2 B2 U2 L2 F2 B2 D B2 R F;2020-11-19 21:11:39;18.05
4588;20.25;;B L2 U2 B' L2 U2 F2 U2 B' L2 F R' D' B R' D' U2 R D' U F2;2020-11-19 21:12:12;20.25
4589;17.80;;D' L' D2 R B2 L' R' F2 R' D2 U2 B2 D' B' D2 L2 B' L' F2 U';2020-11-19 21:12:52;17.80
4590;27.15;;B' D' B2 R2 F2 R2 U B2 D2 B2 L2 U' B' D2 F' L' B' U' R' B' R2;2020-11-19 21:13:46;27.15
4591;22.74;;B L2 B2 L2 R2 D' U2 L2 D2 F2 R2 F2 B' U2 F D' L B U' B';2020-11-19 21:14:32;22.74
4592;18.43;;B D' R B D2 B2 F L2 F' D2 B U2 R' B L' U' F D' U2;2020-11-19 21:15:24;18.43
4593;21.34;;U' R' L2 F' R2 U' L F' U' D2 B2 D2 L2 F2 R2 U B2 U2 L2;2020-11-19 21:16:01;21.34
4594;19.98;;D' R2 D R2 D2 R2 F2 D R2 D' L' R U F' L B D F2 U L';2020-11-19 21:16:36;19.98
4595;17.62;;U2 D L' B R L' D L U2 R2 D F2 U F2 L2 U2 F2 U2 B2 L';2020-11-19 21:17:13;17.62
4596;35.22;;D' F2 D2 B2 U2 L2 B R2 D2 B' L2 B L2 D' B L' U' L' B' L' F;2020-11-19 21:18:47;35.22
4597;17.72;;B2 U' L2 F' L2 U2 B' F2 D2 L2 F' U2 D' F2 L' B2 F' U2 B;2020-11-19 21:19:39;17.72
4598;16.61;;D2 B2 D R2 D R2 D2 B2 D R2 B U' F L2 R' B2 U L' R2 D';2020-11-19 21:20:16;16.61
4599;18.99;;B' R' B2 U2 F2 D2 L2 B' U2 F D2 U2 F L' U2 L2 R' D' B2 L';2020-11-19 21:22:34;18.99
4600;15.39;;L B' L2 U2 R2 U2 F R2 B L2 F U2 B2 L D B L2 U2 L2 F R;2020-11-19 21:23:09;15.39
4601;19.35;;U' F L' U B' U2 F U2 R2 D' F2 U2 R2 D' B2 D' F2 R2 L F2;2020-11-19 21:23:46;19.35
4602;20.26;;L2 D2 U L2 B2 D F2 D' B2 F2 D2 L D' B' D' R U' F2 U B2;2020-11-19 21:24:27;20.26
4603;19.60;;L2 B2 F2 R2 U' L2 R2 U2 B2 R2 U' R' B' L' U' F' U2 L F2 D' F2;2020-11-19 21:25:03;19.60
4604;33.78;;U L B' L2 U' R2 D' L2 F2 U' F2 D2 L2 D' R D' B' L' B2 L' U2;2020-11-19 21:39:16;33.78
4605;28.04;;U B R2 B U2 R2 B2 D2 B D2 R2 B' F2 L' D R2 F D L' F;2020-11-19 21:40:05;28.04
4606;22.32;;U F2 U R F' B2 D2 R D F B L2 D2 F' B' D2 R2 L2 F L2;2020-11-19 21:42:28;22.32
4607;17.30;;F' D' L2 D2 F' R2 F2 R2 D2 U2 B' U2 B D' L' R2 U2 B R' D;2020-11-19 21:43:12;17.30
